Destination,Days,Place
Goa,1,Baga Beach
Goa,2,Aguada Fort
Goa,3,Dudhsagar Falls
Jaipur,1,Amber Fort
Jaipur,2,Hawa Mahal
Jaipur,3,City Palace
Udaipur,1,City Palace
Udaipur,2,Lake Pichola
Udaipur,3,Sajjangarh Palace
Ujjain,1,Mahakaleshwar Temple
Ujjain,2,Kal Bhairav Temple
Ujjain,3,Ram Ghat
Lonavala,1,Tiger Point
Lonavala,2,Bhushi Dam
Lonavala,3,Karla Caves
Manali,1,Hadimba Temple
Manali,2,Solang Valley
Manali,3,Rohtang Pass
Shimla,1,The Ridge
Shimla,2,Mall Road
Shimla,3,Kufri
Delhi,1,India Gate
Delhi,2,Qutub Minar
Delhi,3,Red Fort
Mumbai,1,Gateway of India
Mumbai,2,Marine Drive
Mumbai,3,Elephanta Caves
Pune,1,Shaniwar Wada
Pune,2,Aga Khan Palace
Pune,3,Sinhagad Fort
Varanasi,1,Kashi Vishwanath Temple
Varanasi,2,Dashashwamedh Ghat
Varanasi,3,Sarnath
Rishikesh,1,Laxman Jhula
Rishikesh,2,Triveni Ghat
Rishikesh,3,River Rafting
Amritsar,1,Golden Temple
Amritsar,2,Jallianwala Bagh
Amritsar,3,Wagah Border
Agra,1,Taj Mahal
Agra,2,Agra Fort
Agra,3,Mehtab Bagh
Munnar,1,Tea Gardens
Munnar,2,Mattupetty Dam
Munnar,3,Eravikulam National Park
Ooty,1,Ooty Lake
Ooty,2,Botanical Garden
Ooty,3,Doddabetta Peak
Darjeeling,1,Tiger Hill
Darjeeling,2,Batasia Loop
Darjeeling,3,Tea Estate Tour
Mysore,1,Mysore Palace
Mysore,2,Chamundi Hills
Mysore,3,Brindavan Gardens
Hyderabad,1,Charminar
Hyderabad,2,Golconda Fort
Hyderabad,3,Ramoji Film City
Bengaluru,1,Lalbagh Botanical Garden
Bengaluru,2,Cubbon Park
Bengaluru,3,Bangalore Palace
Srinagar,1,Dal Lake
Srinagar,2,Mughal Gardens
Srinagar,3,Gulmarg
Leh,1,Shanti Stupa
Leh,2,Pangong Lake
Leh,3,Khardung La
Andaman,1,Radhanagar Beach
Andaman,2,Cellular Jail
Andaman,3,Elephant Beach
Mahabaleshwar,1,Venna Lake
Mahabaleshwar,2,Arthur Seat Point
Mahabaleshwar,3,Mapro Garden
Kodaikanal,1,Kodaikanal Lake
Kodaikanal,2,Coaker's Walk
Kodaikanal,3,Pillar Rocks
Dubai,1,Burj Khalifa
Dubai,2,Dubai Mall
Dubai,3,Desert Safari
Singapore,1,Marina Bay Sands
Singapore,2,Sentosa Island
Singapore,3,Gardens by the Bay
Bali,1,Ubud
Bali,2,Tanah Lot Temple
Bali,3,Nusa Penida
Paris,1,Eiffel Tower
Paris,2,Louvre Museum
Paris,3,Seine River Cruise
Maldives,1,Private Beach
Maldives,2,Snorkeling
Maldives,3,Island Hopping
Bangkok,1,Grand Palace
Bangkok,2,Wat Arun
Bangkok,3,Floating Market
London,1,Big Ben
London,2,London Eye
London,3,Buckingham Palace
Tokyo,1,Senso-ji Temple
Tokyo,2,Tokyo Skytree
Tokyo,3,Shibuya Crossing
New York,1,Statue of Liberty
New York,2,Times Square
New York,3,Central Park
Zurich,1,Old Town
Zurich,2,Lake Zurich
Zurich,3,Uetliberg Mountain
