Destination,Budget Type,Hotel Name,Booking Link
Goa,Low,Zostel Goa,https://www.booking.com/city/in/goa.en-gb.html
Goa,Medium,Resort Rio,https://www.booking.com/city/in/goa.en-gb.html
Goa,Luxury,Taj Fort Aguada Resort,https://www.booking.com/city/in/goa.en-gb.html

Jaipur,Low,Zostel Jaipur,https://www.booking.com/city/in/jaipur.en-gb.html
Jaipur,Medium,The Fern Residency,https://www.booking.com/city/in/jaipur.en-gb.html
Jaipur,Luxury,Rambagh Palace,https://www.booking.com/city/in/jaipur.en-gb.html

Udaipur,Low,Moustache Udaipur,https://www.booking.com/city/in/udaipur.en-gb.html
Udaipur,Medium,Hotel Lakend,https://www.booking.com/city/in/udaipur.en-gb.html
Udaipur,Luxury,Taj Lake Palace,https://www.booking.com/city/in/udaipur.en-gb.html

Ujjain,Low,Hotel Midland,https://www.booking.com/city/in/ujjain.en-gb.html
Ujjain,Medium,Hotel Imperial Grand,https://www.booking.com/city/in/ujjain.en-gb.html
Ujjain,Luxury,Anjushree Resort,https://www.booking.com/city/in/ujjain.en-gb.html

Lonavala,Low,Zostel Lonavala,https://www.booking.com/city/in/lonavala.en-gb.html
Lonavala,Medium,Fariyas Resort,https://www.booking.com/city/in/lonavala.en-gb.html
Lonavala,Luxury,Della Resorts,https://www.booking.com/city/in/lonavala.en-gb.html

Manali,Low,Zostel Manali,https://www.booking.com/city/in/manali.en-gb.html
Manali,Medium,The Orchard Greens,https://www.booking.com/city/in/manali.en-gb.html
Manali,Luxury,Span Resort,https://www.booking.com/city/in/manali.en-gb.html

Shimla,Low,Zostel Shimla,https://www.booking.com/city/in/shimla.en-gb.html
Shimla,Medium,Hotel Willow Banks,https://www.booking.com/city/in/shimla.en-gb.html
Shimla,Luxury,The Oberoi Cecil,https://www.booking.com/city/in/shimla.en-gb.html

Delhi,Low,Bloomrooms New Delhi,https://www.booking.com/city/in/new-delhi.en-gb.html
Delhi,Medium,The Park New Delhi,https://www.booking.com/city/in/new-delhi.en-gb.html
Delhi,Luxury,The Leela Palace,https://www.booking.com/city/in/new-delhi.en-gb.html

Mumbai,Low,Backpacker Panda,https://www.booking.com/city/in/mumbai.en-gb.html
Mumbai,Medium,The Gordon House Hotel,https://www.booking.com/city/in/mumbai.en-gb.html
Mumbai,Luxury,Taj Mahal Palace,https://www.booking.com/city/in/mumbai.en-gb.html

Pune,Low,Zostel Pune,https://www.booking.com/city/in/pune.en-gb.html
Pune,Medium,Lemon Tree Hotel,https://www.booking.com/city/in/pune.en-gb.html
Pune,Luxury,The Westin Pune,https://www.booking.com/city/in/pune.en-gb.html

Varanasi,Low,Zostel Varanasi,https://www.booking.com/city/in/varanasi.en-gb.html
Varanasi,Medium,Ramada Plaza,https://www.booking.com/city/in/varanasi.en-gb.html
Varanasi,Luxury,Taj Ganges,https://www.booking.com/city/in/varanasi.en-gb.html

Rishikesh,Low,Zostel Rishikesh,https://www.booking.com/city/in/rishikesh.en-gb.html
Rishikesh,Medium,Ganga Kinare,https://www.booking.com/city/in/rishikesh.en-gb.html
Rishikesh,Luxury,Taj Rishikesh Resort,https://www.booking.com/city/in/rishikesh.en-gb.html

Amritsar,Low,Zostel Amritsar,https://www.booking.com/city/in/amritsar.en-gb.html
Amritsar,Medium,Hyatt Regency,https://www.booking.com/city/in/amritsar.en-gb.html
Amritsar,Luxury,Taj Swarna,https://www.booking.com/city/in/amritsar.en-gb.html

Agra,Low,Zostel Agra,https://www.booking.com/city/in/agra.en-gb.html
Agra,Medium,Crystal Sarovar Premiere,https://www.booking.com/city/in/agra.en-gb.html
Agra,Luxury,The Oberoi Amarvilas,https://www.booking.com/city/in/agra.en-gb.html

Munnar,Low,Zostel Munnar,https://www.booking.com/city/in/munnar.en-gb.html
Munnar,Medium,The Leaf Resort,https://www.booking.com/city/in/munnar.en-gb.html
Munnar,Luxury,Blanket Hotel & Spa,https://www.booking.com/city/in/munnar.en-gb.html

Ooty,Low,Zostel Ooty,https://www.booking.com/city/in/ooty.en-gb.html
Ooty,Medium,Fortune Resort Sullivan Court,https://www.booking.com/city/in/ooty.en-gb.html
Ooty,Luxury,Savoy IHCL SeleQtions,https://www.booking.com/city/in/ooty.en-gb.html

Darjeeling,Low,Zostel Darjeeling,https://www.booking.com/city/in/darjeeling.en-gb.html
Darjeeling,Medium,Summit Swiss Heritage,https://www.booking.com/city/in/darjeeling.en-gb.html
Darjeeling,Luxury,Mayfair Darjeeling,https://www.booking.com/city/in/darjeeling.en-gb.html

Mysore,Low,Roambay Mysore,https://www.booking.com/city/in/mysore.en-gb.html
Mysore,Medium,Royal Orchid Metropole,https://www.booking.com/city/in/mysore.en-gb.html
Mysore,Luxury,Radisson Blu Plaza,https://www.booking.com/city/in/mysore.en-gb.html

Hyderabad,Low,Zostel Hyderabad,https://www.booking.com/city/in/hyderabad.en-gb.html
Hyderabad,Medium,Lemon Tree Premier,https://www.booking.com/city/in/hyderabad.en-gb.html
Hyderabad,Luxury,Taj Falaknuma Palace,https://www.booking.com/city/in/hyderabad.en-gb.html

