Destination,Best Season,Ideal Duration,Average Budget,Top Attraction
Goa,November-February,3 Days,15000,Baga Beach
Jaipur,October-March,3 Days,12000,Amber Fort
Udaipur,October-March,3 Days,14000,City Palace
Ujjain,October-March,2 Days,8000,Mahakaleshwar Temple
Lonavala,June-September,2 Days,7000,Bhushi Dam
Manali,March-June,3 Days,18000,Solang Valley
Shimla,March-June,3 Days,16000,The Ridge
Delhi,October-March,3 Days,18000,India Gate
Mumbai,November-February,3 Days,22000,Gateway of India
Pune,October-February,2 Days,12000,Shaniwar Wada
Varanasi,October-March,3 Days,12000,Kashi Vishwanath Temple
Rishikesh,September-April,3 Days,13000,River Rafting
Amritsar,October-March,2 Days,12000,Golden Temple
Agra,October-March,2 Days,11000,Taj Mahal
Munnar,September-March,3 Days,15000,Tea Gardens
Ooty,October-June,3 Days,15000,Ooty Lake
Darjeeling,March-May,3 Days,17000,Tiger Hill
Mysore,October-February,2 Days,12000,Mysore Palace
Hyderabad,October-February,3 Days,18000,Charminar
Bengaluru,October-February,3 Days,19000,Lalbagh Botanical Garden
Srinagar,April-October,4 Days,25000,Dal Lake
Leh,May-September,4 Days,30000,Pangong Lake
Andaman,October-May,4 Days,35000,Radhanagar Beach
Mahabaleshwar,October-June,2 Days,12000,Venna Lake
Kodaikanal,October-June,3 Days,15000,Kodaikanal Lake
Dubai,November-March,4 Days,60000,Burj Khalifa
Singapore,February-April,4 Days,70000,Marina Bay Sands
Bali,April-October,5 Days,55000,Ubud
Paris,April-June,5 Days,90000,Eiffel Tower
Maldives,November-April,5 Days,120000,Private Beaches
Bangkok,November-February,4 Days,45000,Grand Palace
London,May-September,5 Days,100000,London Eye
Tokyo,March-May,5 Days,95000,Tokyo Skytree
New York,April-June,5 Days,110000,Statue of Liberty
Zurich,June-September,5 Days,105000,Lake Zurich
