Destination,Budget Type,Restaurant,Famous Dish,Google Maps
Goa,Low,Vinayak Family Restaurant,Goan Fish Curry,https://maps.google.com/?q=Vinayak+Family+Restaurant+Goa
Goa,Medium,Fisherman's Wharf,Prawn Curry,https://maps.google.com/?q=Fishermans+Wharf+Goa
Goa,Luxury,Thalassa,Seafood Platter,https://maps.google.com/?q=Thalassa+Goa

Jaipur,Low,Rawat Misthan Bhandar,Pyaaz Kachori,https://maps.google.com/?q=Rawat+Misthan+Bhandar+Jaipur
Jaipur,Medium,Spice Court,Gatte Ki Sabzi,https://maps.google.com/?q=Spice+Court+Jaipur
Jaipur,Luxury,Suvarna Mahal,Rajasthani Thali,https://maps.google.com/?q=Suvarna+Mahal+Jaipur

Udaipur,Low,Natraj Dining Hall,Dal Baati,https://maps.google.com/?q=Natraj+Dining+Hall+Udaipur
Udaipur,Medium,Tribute Restaurant,Rajasthani Thali,https://maps.google.com/?q=Tribute+Restaurant+Udaipur
Udaipur,Luxury,Upre by 1559 AD,Lake View Dining,https://maps.google.com/?q=Upre+1559+AD+Udaipur

Ujjain,Low,Shree Ganga Restaurant,Poha Jalebi,https://maps.google.com/?q=Shree+Ganga+Restaurant+Ujjain
Ujjain,Medium,Empire Restaurant,North Indian Thali,https://maps.google.com/?q=Empire+Restaurant+Ujjain
Ujjain,Luxury,Anjushree Restaurant,Special Buffet,https://maps.google.com/?q=Anjushree+Restaurant+Ujjain

Lonavala,Low,Rama Krishna,Vada Pav,https://maps.google.com/?q=Rama+Krishna+Lonavala
Lonavala,Medium,Golden Vadapav,Chikki,https://maps.google.com/?q=Golden+Vadapav+Lonavala
Lonavala,Luxury,Fariyas Restaurant,Multi Cuisine,https://maps.google.com/?q=Fariyas+Lonavala

Manali,Low,Mount View Restaurant,Siddu,https://maps.google.com/?q=Mount+View+Restaurant+Manali
Manali,Medium,Johnson's Cafe,Trout Fish,https://maps.google.com/?q=Johnsons+Cafe+Manali
Manali,Luxury,The Corner House,Himachali Cuisine,https://maps.google.com/?q=The+Corner+House+Manali

Shimla,Low,Ashiana Restaurant,Madra,https://maps.google.com/?q=Ashiana+Restaurant+Shimla
Shimla,Medium,Wake and Bake,Cafe Special,https://maps.google.com/?q=Wake+and+Bake+Shimla
Shimla,Luxury,Cecil Restaurant,Fine Dining,https://maps.google.com/?q=Cecil+Restaurant+Shimla

Delhi,Low,Sita Ram Diwan Chand,Chole Bhature,https://maps.google.com/?q=Sita+Ram+Diwan+Chand+Delhi
Delhi,Medium,Karim's,Mughlai Cuisine,https://maps.google.com/?q=Karims+Delhi
Delhi,Luxury,Indian Accent,Chef's Tasting Menu,https://maps.google.com/?q=Indian+Accent+Delhi

Mumbai,Low,Anand Stall,Vada Pav,https://maps.google.com/?q=Anand+Stall+Mumbai
Mumbai,Medium,Britannia & Co,Berry Pulao,https://maps.google.com/?q=Britannia+Mumbai
Mumbai,Luxury,Wasabi by Morimoto,Japanese Cuisine,https://maps.google.com/?q=Wasabi+Mumbai

Pune,Low,Vaishali,Misal Pav,https://maps.google.com/?q=Vaishali+Pune
Pune,Medium,Shabree,Traditional Thali,https://maps.google.com/?q=Shabree+Pune
